"","version","doi","v1","v2","v3","v4","v5","v6"
"3477","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3477,"selbstbedienung",2.95000004768372,0.604805290699005,3,3
"3478","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3478,"selbstbedienungsladen",2.59375,0.945596754550934,3,3
"3479","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3479,"selbstbeweihräucherung",2.35555553436279,0.85211056470871,3,3
"3480","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3480,"selbstherrlich",2.46590900421143,1.00514614582062,3,3
"3481","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3481,"selbstherrlichkeit",3,0.471404522657394,3,3
"3482","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3482,"selbsthilfegruppe",1.90909087657928,1.30034959316254,3,3
"3483","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3483,"selbstkritik",2.06666660308838,1.05552089214325,2,2
"3484","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3484,"selbstkritisch",1.21518981456757,1.20544588565826,0,0
"3485","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3485,"selbstläufer",1.91666662693024,1.24011242389679,3,3
"3486","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3486,"selbstmord",2.67241382598877,1.08236145973206,3,3
"3487","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3487,"selbstmordanschlag",2.90000009536743,1.5951315164566,4,4
"3488","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3488,"selbstmordattentat",2.54999995231628,1.4317821264267,3,3
